Scen,CRN,q1,q9,preds,actual,width,interval_pred_ratio,mean_interval_width_percentage,stdev,interval_score,sharpness,underprediction,overprediction
W2,Cambodia,45.938,66.3,56.866324,63.52,20.362,0.358067808286676,19.2192764604003,0.0906201303572703,2.0362,2.0362,0,0
W2,Cambodia,49.38,68.74,58.3088083333333,64.49,19.36,0.332025307211304,19.2192764604003,0.0906201303572703,1.936,1.936,0,0
W2,Cambodia,60.16,70.89,65.8691303333333,65.8,10.73,0.162898765259241,19.2192764604003,0.0906201303572703,1.073,1.073,0,0
W2,Cambodia,59.23,70.96,66.121262,67.27,11.73,0.177401332721085,19.2192764604003,0.0906201303572703,1.173,1.173,0,0
W2,Cambodia,60.27,74.08,67.168933,66.43,13.81,0.205601003070869,19.2192764604003,0.0906201303572703,1.381,1.381,0,0
W2,Cambodia,60.59,74.08,67.5909623333333,64.78,13.49,0.199582895912509,19.2192764604003,0.0906201303572703,1.349,1.349,0,0
W2,Cambodia,60.59,74.08,67.521489,62.24,13.49,0.199788248153118,19.2192764604003,0.0906201303572703,1.349,1.349,0,0
W2,Cambodia,60.16,69.8,66.0212463333333,59.44,9.64,0.146013602217214,19.2192764604003,0.0906201303572703,1.684,0.964,0,0.719999999999999
W2,Cambodia,59.69,69.8,64.8236673333333,57.98,10.11,0.155961555646225,19.2192764604003,0.0906201303572703,2.721,1.011,0,1.71
W2,Cambodia,54.43,67.46,62.2169426666666,58.72,13.03,0.209428484292607,19.2192764604003,0.0906201303572703,1.303,1.303,0,0
W2,Cambodia,52.6,67.46,60.815513,62.16,14.86,0.244345550451905,19.2192764604003,0.0906201303572703,1.486,1.486,0,0
W2,Cambodia,52.53,66.57,58.9851849333334,61.94,14.04,0.238025870663428,19.2192764604003,0.0906201303572703,1.404,1.404,0,0
W2,Cambodia,56.183,68.74,62.2863486666667,63.07,12.557,0.2016011576983,19.2192764604003,0.0906201303572703,1.2557,1.2557,0,0
W2,Cambodia,54.44,68.74,61.129994,62.82,14.3,0.233927718036419,19.2192764604003,0.0906201303572703,1.43,1.43,0,0
W2,Cambodia,55.94,69.318,61.9172946666668,61.19,13.378,0.216062411512337,19.2192764604003,0.0906201303572703,1.3378,1.3378,0,0
W2,Cambodia,54.58,68.14,59.8049116666668,58.79,13.56,0.226737229804453,19.2192764604003,0.0906201303572703,1.356,1.356,0,0
W2,Cambodia,54.22,66.71,58.8737286666667,56.38,12.49,0.21214895476922,19.2192764604003,0.0906201303572703,1.249,1.249,0,0
W2,Cambodia,52.28,65.55,56.723078,54.84,13.27,0.23394358112936,19.2192764604003,0.0906201303572703,1.327,1.327,0,0
W2,Cambodia,49.08,55.42,52.321347,52.97,6.34,0.12117425034948,19.2192764604003,0.0906201303572703,0.634,0.634,0,0
W2,Cambodia,46.92,53.033,49.7903853333333,52.5,6.113,0.122774707588124,19.2192764604003,0.0906201303572703,0.6113,0.6113,0,0
W2,Cambodia,45.63,52.39,48.8914656666667,51.4,6.76,0.138265439741334,19.2192764604003,0.0906201303572703,0.676,0.676,0,0
W2,Cambodia,44.38,52.39,48.229198,48.85,8.01,0.166081965534654,19.2192764604003,0.0906201303572703,0.801,0.801,0,0
W2,Cambodia,44.38,52.39,48.0020854666667,48.02,8.01,0.166867750059781,19.2192764604003,0.0906201303572703,0.801,0.801,0,0
W2,Cambodia,44.31,48.91,46.5993648,48.4,4.59999999999999,0.0987137919098844,19.2192764604003,0.0906201303572703,0.459999999999999,0.459999999999999,0,0
W2,Cambodia,43.96,48.91,46.0077765,48.02,4.95,0.107590507009179,19.2192764604003,0.0906201303572703,0.495,0.495,0,0
W2,Cambodia,44.019,49.134,46.2130412333333,48.89,5.115,0.110683042351053,19.2192764604003,0.0906201303572703,0.5115,0.5115,0,0
W2,Cambodia,43.663,48.94,46.2306188666667,50.16,5.27699999999999,0.114145129988836,19.2192764604003,0.0906201303572703,1.7477,0.527699999999999,1.22,0
W2,Cambodia,44.03,49.32,46.8776121333334,50.53,5.29,0.11284704487408,19.2192764604003,0.0906201303572703,1.739,0.529,1.21,0
W2,Cambodia,44.38,52.39,48.0830923333333,49.28,8.01,0.166586623515624,19.2192764604003,0.0906201303572703,0.801,0.801,0,0
