Scen,CRN,q1,q9,preds,actual,width,interval_pred_ratio,mean_interval_width_percentage,stdev,theMis
W2,Indonesia,44.2,46.53,45.3503268961594,46.31,2.33,0.0513777994442047,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,44.15,46.6,45.3188337676213,46.16,2.45,0.0540614088297754,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,44.22,47.07,45.5536111751582,45.6,2.85,0.0625636459213182,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,44.513,47.399,46.0053789036519,44.47,2.886,0.0627317950373605,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,44.22,46.95,45.6221730476746,43.88,2.73,0.0598393241187172,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,43.609,46.533,45.0379088926074,43.92,2.92400000000001,0.0649230852829394,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,41.509,45.59,43.8536986864247,44.39,4.081,0.0930594253675418,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,42.49,46.012,44.462499536075,44.44,3.522,0.0792128206184719,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,43.315,46.28,44.7203218191808,44.21,2.965,0.0663009540045011,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,43.06,47.09,45.1028782272172,45.77,4.03,0.089351282188641,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,43.19,46.71,45.1181477525253,47.4,3.52,0.0780173871344927,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,44.8,48.554,46.4278361196211,48.65,3.754,0.0808566651766374,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,45.3,49.681,47.6223733319782,50.55,4.38100000000001,0.0919945751014931,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,46.734,51.04,49.1254016895558,52.15,4.306,0.0876532272898537,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,48.81,53.5,51.1481498406778,53.15,4.69,0.0916944212959599,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,49.72,54.48,52.1956601474637,53.08,4.76,0.0911953213457211,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,51.22,55.86,53.8736602573538,53.28,4.64,0.0861274318068381,7.80555867008085,0.020770728525758,5.25896153846154
W2,Indonesia,51.208,55.86,53.8528121405817,54.45,4.652,0.0863836040327114,7.80555867008085,0.020770728525758,5.25896153846154
W2,Laos,37.534,43.97,40.628783,40.81,6.43600000000001,0.158409864258056,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,37.78,43.97,40.5854163333333,41.15,6.19,0.152517839145981,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,38.9,45.558,42.4111793333332,41.48,6.65800000000001,0.156986910165149,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,38.85,46.13,42.442727,41.71,7.28,0.1715252650943,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,38.897,46.163,42.5475036666666,42.97,7.266,0.170773826284254,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,38.87,46.25,42.770566,47.34,7.38,0.172548569967487,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,38.969,47.18,43.8293923333333,51.12,8.211,0.187340037424049,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,43.23,49.92,47.3399363333333,52.98,6.69000000000001,0.141318314264174,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.76,54.87,50.210990111111,56.33,9.11,0.181434382788323,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,46.5,54.87,51.0414516888888,59.39,8.37,0.163984364140295,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,48.77,55.38,52.1841305777778,60.74,6.61,0.126666860725947,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,50.068,60.834,54.6408356444445,60.32,10.766,0.197032125754003,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,49.41,65.315,55.6450457555556,59.67,15.905,0.285829578968619,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,48.47,65.04,55.4897648888889,56.56,16.57,0.298613627813694,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,48.09,65.01,55.6760016666667,53.31,16.92,0.303901133226132,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,49.03,62.54,55.4982918,50.96,13.51,0.24343091583226,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.73,58.11,52.8674553,49.31,12.38,0.234170529482625,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.28,56.22,51.5680746666666,49.07,10.94,0.212146760776228,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,43.8,54.155,49.6469256666666,50.67,10.355,0.208572834288356,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.29,54.15,50.7344121666667,52.55,8.86,0.17463491980343,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,48.11,56.76,52.6418846666667,52.28,8.65,0.164317825145749,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,50.441,59,54.6322383333333,53.48,8.559,0.156665739151636,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,49.53,59,54.531939,51.96,9.47,0.173659696934672,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,51.8,59.15,56.1025018333333,48.44,7.35,0.131010200255152,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,48.11,57.842,52.1315641666667,45.8,9.73200000000001,0.186681526932252,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,44.05,53.342,49.1987638333333,47.16,9.29200000000002,0.188866533953531,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,42.92,51.42,45.8547253333333,48.75,8.5,0.185368027792352,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,42.92,51.782,47.2234101666667,50.82,8.862,0.187661161460452,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,42.92,52.652,47.8961395,52.83,9.73200000000002,0.203189653729817,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,44.516,55.19,49.0072265666666,53.39,10.674,0.21780461266217,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.28,61.22,52.6072276222222,54.22,15.94,0.303000190667084,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.28,62.34,53.6140024444445,54.93,17.06,0.318200455518645,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.708,65.246,54.2822765555556,63.54,19.538,0.359933319672098,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.73,66.43,54.5323760666667,64.36,20.7,0.379591015339107,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,48.436,68.509,60.2069765111111,64.63,20.073,0.333399900861914,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,49.696,67.86,60.3455986888889,63.31,18.164,0.300999582316588,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,52.65,67.512,59.9546791777778,61.57,14.862,0.247887240892928,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,51.5,64.608,57.7656712222222,59.89,13.108,0.226916778125438,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,50.48,62.13,56.0117502,58.74,11.65,0.207992072349134,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,49.939,59.89,54.3443647777778,54.62,9.951,0.183110061929901,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,49.178,59.28,53.8613907777777,46.97,10.102,0.187555498551439,20.198424662638,0.0623340373617414,21.6736730769231
W2,Laos,45.84,54.87,50.5295496,43.59,9.02999999999999,0.178707312285245,20.198424662638,0.0623340373617414,21.6736730769231
