Date-Monthly,"Lao People's Democratic Republic, Retail, Vientiane Capital, Rice (Ordinary,first quality), Kip-real/kg" Commodity Code: 1006_49 ,"Lao People's Democratic Republic, Retail, Vientiane Capital, Rice (Ordinary,first quality), USD/kg" Commodity Code: 1006_49 
Nov-11,"7,274.22",1.00
Oct-11,"7,276.06",1.00
Sep-11,"7,295.87",1.00
Aug-11,"7,324.93",1.00
Jul-11,"7,351.13",1.00
Jun-11,"7,378.84",1.00
May-11,"7,398.12",1.00
Apr-11,,
Mar-11,"8,585.71",1.12
Feb-11,"8,726.68",1.12
Jan-11,"8,800.36",1.12
Dec-10,"8,865.75",1.12
Nov-10,"8,832.16",1.12
Oct-10,"9,457.31",1.21
Sep-10,"8,970.37",1.13
Aug-10,"8,758.63",1.10
Jul-10,"8,858.94",1.09
Jun-10,"9,090.80",1.09
May-10,"8,119.67",0.97
Apr-10,"8,159.02",0.96
Mar-10,"8,220.49",0.94
Feb-10,"8,273.44",0.94
Jan-10,"8,295.83",0.94
Dec-09,"8,335.10",0.94
Nov-09,"8,376.87",0.94
Oct-09,"8,370.48",0.94
Sep-09,"8,389.50",0.94
Aug-09,"8,406.85",0.94
Jul-09,"8,411.88",0.94
Jun-09,"8,480.34",0.94
May-09,"8,507.38",0.94
Apr-09,"8,553.68",0.93
Mar-09,"8,622.40",0.93
Feb-09,"8,663.62",0.94
Jan-09,"8,914.38",0.97
Dec-08,"8,336.92",0.90
Nov-08,"8,183.84",0.90
Oct-08,"8,047.90",0.90
Sep-08,"7,932.91",0.89
Aug-08,"7,908.51",0.89
Jul-08,"7,974.26",0.89
Jun-08,"9,156.32",1.01
May-08,"8,895.89",0.97
Apr-08,"8,430.85",0.90
Mar-08,"7,378.07",0.77
Feb-08,"7,264.47",0.72
Jan-08,"7,304.83",0.71
Dec-07,"7,018.50",0.67
Nov-07,"6,889.28",0.65
Oct-07,"6,903.57",0.64
Sep-07,"6,742.91",0.63
Aug-07,"6,602.06",0.61
Jul-07,"6,680.59",0.61
Jun-07,"6,727.11",0.61
May-07,"6,581.22",0.59
Apr-07,"6,417.58",0.57
Mar-07,"6,467.38",0.57
Feb-07,"6,482.11",0.57
Jan-07,"6,496.90",0.57
Dec-06,"6,052.99",0.53
Nov-06,"5,942.44",0.51
Oct-06,"5,917.55",0.50
Sep-06,"5,964.52",0.51
Aug-06,"5,734.78",0.49
Jul-06,"5,918.37",0.49
Jun-06,"5,838.38",0.48
May-06,"5,636.25",0.47
Apr-06,"5,669.14",0.46
Mar-06,"5,773.58",0.46
Feb-06,"5,802.32",0.45
Jan-06,"5,846.55",0.44
